"total_name","total_value","country_name","country_url","country_total_cases","country_total_deaths","country_total_new_cases","country_total_recovered","country_total_active_cases","country_total_tests","country_Population","country_Population_url"
"","","Guadeloupe","https://www.worldometers.info/coronavirus/country/guadeloupe/","190","14","","157","19","11,538","400,127","https://www.worldometers.info/world-population/guadeloupe-population/"
"","","Faeroe Islands","https://www.worldometers.info/coronavirus/country/faeroe-islands/","188","","","188","0","24,704","48,870","https://www.worldometers.info/world-population/faeroe-islands-population/"
"","","Gibraltar","https://www.worldometers.info/coronavirus/country/gibraltar/","180","","","180","0","16,789","33,691","https://www.worldometers.info/world-population/gibraltar-population/"
"","","Cambodia","https://www.worldometers.info/coronavirus/country/cambodia/","165","","","133","32","47,702","16,726,831","https://www.worldometers.info/world-population/cambodia-population/"
"","","Bermuda","https://www.worldometers.info/coronavirus/country/bermuda/","150","9","","137","4","14,467","62,268","https://www.worldometers.info/world-population/bermuda-population/"
"","","Brunei","https://www.worldometers.info/coronavirus/country/brunei-darussalam/","141","3","","138","0","34,797","437,630","https://www.worldometers.info/world-population/brunei-darussalam-population/"
"","","Trinidad and Tobago","https://www.worldometers.info/coronavirus/country/trinidad-and-tobago/","133","8","","124","1","5,847","1,399,666","https://www.worldometers.info/world-population/trinidad-and-tobago-population/"
"","","Bahamas","https://www.worldometers.info/coronavirus/country/bahamas/","116","11","+3","91","14","2,545","393,380","https://www.worldometers.info/world-population/bahamas-population/"
"","","Monaco","https://www.worldometers.info/coronavirus/country/monaco/","109","4","","97","8","16,200","39,252","https://www.worldometers.info/world-population/monaco-population/"
"","","Aruba","https://www.worldometers.info/coronavirus/country/aruba/","106","3","","99","4","4,012","106,784","https://www.worldometers.info/world-population/aruba-population/"
"","","Barbados","https://www.worldometers.info/coronavirus/country/barbados/","103","7","","90","6","9,026","287,389","https://www.worldometers.info/world-population/barbados-population/"
"","","Seychelles","https://www.worldometers.info/coronavirus/country/seychelles/","100","","","27","73","","98,370","https://www.worldometers.info/world-population/seychelles-population/"
"","","Liechtenstein","https://www.worldometers.info/coronavirus/country/liechtenstein/","84","1","","81","2","900","38,132","https://www.worldometers.info/world-population/liechtenstein-population/"
"","","Bhutan","https://www.worldometers.info/coronavirus/country/bhutan/","84","","","78","6","39,270","771,909","https://www.worldometers.info/world-population/bhutan-population/"
"","","Sint Maarten","https://www.worldometers.info/coronavirus/country/sint-maarten/","78","15","","63","0","523","42,893","https://www.worldometers.info/world-population/sint-maarten-population/"
"","","Antigua and Barbuda","https://www.worldometers.info/coronavirus/country/antigua-and-barbuda/","74","3","","57","14","866","97,959","https://www.worldometers.info/world-population/antigua-and-barbuda-population/"
"","","Turks and Caicos","https://www.worldometers.info/coronavirus/country/turks-and-caicos-islands/","72","2","","12","58","946","38,735","https://www.worldometers.info/world-population/turks-and-caicos-islands-population/"
"","","Gambia","https://www.worldometers.info/coronavirus/country/gambia/","64","3","","34","27","3,573","2,418,471","https://www.worldometers.info/world-population/gambia-population/"
"","","French Polynesia","https://www.worldometers.info/coronavirus/country/french-polynesia/","62","","","60","2","4,649","280,970","https://www.worldometers.info/world-population/french-polynesia-population/"
"","","Macao","https://www.worldometers.info/coronavirus/country/china-macao-sar/","46","","","45","1","4,071","649,637","https://www.worldometers.info/world-population/china-macao-sar-population/"
"","","Saint Martin","https://www.worldometers.info/coronavirus/country/saint-martin/","43","3","","37","3","851","38,687","https://www.worldometers.info/world-population/saint-martin-population/"
"","","Belize","https://www.worldometers.info/coronavirus/country/belize/","39","2","","21","16","2,665","397,857","https://www.worldometers.info/world-population/belize-population/"
"","","St. Vincent Grenadines","https://www.worldometers.info/coronavirus/country/saint-vincent-and-the-grenadines/","35","","","29","6","1,213","110,954","https://www.worldometers.info/world-population/saint-vincent-and-the-grenadines-population/"
"","","Curaçao","https://www.worldometers.info/coronavirus/country/curacao/","26","1","+1","24","1","1,080","164,119","https://www.worldometers.info/world-population/curacao-population/"
