"total_name","total_value","country_name","country_url","country_total_cases","country_total_deaths","country_total_new_cases","country_total_recovered","country_total_active_cases","country_total_tests","country_Population","country_Population_url"
"","","DRC","https://www.worldometers.info/coronavirus/country/democratic-republic-of-the-congo/","8,135","190","","3,948","3,997","","89,630,305","https://www.worldometers.info/world-population/democratic-republic-of-the-congo-population/"
"","","Ethiopia","https://www.worldometers.info/coronavirus/country/ethiopia/","7,969","139","","2,430","5,400","250,604","115,044,244","https://www.worldometers.info/world-population/ethiopia-population/"
"","","Bulgaria","https://www.worldometers.info/coronavirus/country/bulgaria/","7,645","283","","3,663","3,699","184,560","6,946,122","https://www.worldometers.info/world-population/bulgaria-population/"
"","","Bosnia and Herzegovina","https://www.worldometers.info/coronavirus/country/bosnia-and-herzegovina/","7,397","235","+416","3,335","3,827","111,536","3,279,925","https://www.worldometers.info/world-population/bosnia-and-herzegovina-population/"
"","","Finland","https://www.worldometers.info/coronavirus/country/finland/","7,296","328","","6,880","88","291,100","5,541,065","https://www.worldometers.info/world-population/finland-population/"
"","","Haiti","https://www.worldometers.info/coronavirus/country/haiti/","6,831","143","+104","3,283","3,405","14,544","11,407,370","https://www.worldometers.info/world-population/haiti-population/"
"","","Palestine","https://www.worldometers.info/coronavirus/country/state-of-palestine/","6,764","44","","1,084","5,636","141,444","5,104,868","https://www.worldometers.info/world-population/state-of-palestine-population/"
"","","Tajikistan","https://www.worldometers.info/coronavirus/country/tajikistan/","6,643","56","","5,332","1,255","","9,543,974","https://www.worldometers.info/world-population/tajikistan-population/"
"","","French Guiana","https://www.worldometers.info/coronavirus/country/french-guiana/","6,229","31","","3,472","2,726","11,273","298,897","https://www.worldometers.info/world-population/french-guiana-population/"
"","","Guinea","https://www.worldometers.info/coronavirus/country/guinea/","6,200","38","","4,951","1,211","14,407","13,142,438","https://www.worldometers.info/world-population/guinea-population/"
"","","Gabon","https://www.worldometers.info/coronavirus/country/gabon/","6,026","46","","3,475","2,505","49,853","2,227,254","https://www.worldometers.info/world-population/gabon-population/"
"","","Madagascar","https://www.worldometers.info/coronavirus/country/madagascar/","5,605","43","+262","2,811","2,751","30,530","27,710,827","https://www.worldometers.info/world-population/madagascar-population/"
"","","Mauritania","https://www.worldometers.info/coronavirus/country/mauritania/","5,518","147","","2,664","2,707","13,842","4,653,021","https://www.worldometers.info/world-population/mauritania-population/"
"","","Luxembourg","https://www.worldometers.info/coronavirus/country/luxembourg/","5,056","111","","4,195","750","292,711","626,312","https://www.worldometers.info/world-population/luxembourg-population/"
"","","Djibouti","https://www.worldometers.info/coronavirus/country/djibouti/","4,979","56","","4,743","180","51,843","988,483","https://www.worldometers.info/world-population/djibouti-population/"
"","","CAR","https://www.worldometers.info/coronavirus/country/central-african-republic/","4,356","53","","1,229","3,074","27,561","4,832,469","https://www.worldometers.info/world-population/central-african-republic-population/"
"","","Hungary","https://www.worldometers.info/coronavirus/country/hungary/","4,263","595","+5","3,126","542","299,185","9,659,319","https://www.worldometers.info/world-population/hungary-population/"
"","","Greece","https://www.worldometers.info/coronavirus/country/greece/","3,883","193","","1,374","2,316","386,307","10,420,856","https://www.worldometers.info/world-population/greece-population/"
"","","Croatia","https://www.worldometers.info/coronavirus/country/croatia/","3,827","120","","2,558","1,149","95,920","4,104,159","https://www.worldometers.info/world-population/croatia-population/"
"","","Albania","https://www.worldometers.info/coronavirus/country/albania/","3,752","101","+85","2,091","1,560","29,695","2,877,667","https://www.worldometers.info/world-population/albania-population/"
"","","Thailand","https://www.worldometers.info/coronavirus/country/thailand/","3,232","58","+5","3,092","82","603,657","69,806,919","https://www.worldometers.info/world-population/thailand-population/"
"","","Nicaragua","https://www.worldometers.info/coronavirus/country/nicaragua/","3,147","99","","2,282","766","","6,627,311","https://www.worldometers.info/world-population/nicaragua-population/"
"","","Somalia","https://www.worldometers.info/coronavirus/country/somalia/","3,076","93","","1,380","1,603","","15,905,041","https://www.worldometers.info/world-population/somalia-population/"
"","","Paraguay","https://www.worldometers.info/coronavirus/country/paraguay/","3,074","25","","1,308","1,741","94,328","7,135,586","https://www.worldometers.info/world-population/paraguay-population/"
"","","Equatorial Guinea","https://www.worldometers.info/coronavirus/country/equatorial-guinea/","3,071","51","","842","2,178","16,000","1,404,090","https://www.worldometers.info/world-population/equatorial-guinea-population/"
"","","Maldives","https://www.worldometers.info/coronavirus/country/maldives/","2,801","14","","2,302","485","63,559","540,849","https://www.worldometers.info/world-population/maldives-population/"
"","","Mayotte","https://www.worldometers.info/coronavirus/country/mayotte/","2,724","37","","2,480","207","13,000","273,004","https://www.worldometers.info/world-population/mayotte-population/"
"","","Sri Lanka","https://www.worldometers.info/coronavirus/country/sri-lanka/","2,665","11","","1,988","666","127,920","21,416,733","https://www.worldometers.info/world-population/sri-lanka-population/"
"","","Malawi","https://www.worldometers.info/coronavirus/country/malawi/","2,497","40","","795","1,662","21,532","19,143,672","https://www.worldometers.info/world-population/malawi-population/"
"","","Lebanon","https://www.worldometers.info/coronavirus/country/lebanon/","2,451","37","","1,452","962","184,425","6,824,132","https://www.worldometers.info/world-population/lebanon-population/"
"","","Cuba","https://www.worldometers.info/coronavirus/country/cuba/","2,432","87","","2,275","70","211,427","11,326,332","https://www.worldometers.info/world-population/cuba-population/"
"","","Mali","https://www.worldometers.info/coronavirus/country/mali/","2,423","121","","1,748","554","16,317","20,266,097","https://www.worldometers.info/world-population/mali-population/"
"","","Congo","https://www.worldometers.info/coronavirus/country/congo/","2,222","47","+194","589","1,586","","5,521,945","https://www.worldometers.info/world-population/congo-population/"
"","","South Sudan","https://www.worldometers.info/coronavirus/country/south-sudan/","2,153","41","+5","1,175","937","12,044","11,198,327","https://www.worldometers.info/world-population/south-sudan-population/"
"","","Estonia","https://www.worldometers.info/coronavirus/country/estonia/","2,016","69","+1","1,901","46","113,129","1,326,571","https://www.worldometers.info/world-population/estonia-population/"
"","","Slovakia","https://www.worldometers.info/coronavirus/country/slovakia/","1,927","28","+19","1,507","392","233,436","5,459,749","https://www.worldometers.info/world-population/slovakia-population/"
"","","Iceland","https://www.worldometers.info/coronavirus/country/iceland/","1,905","10","","1,882","13","104,713","341,326","https://www.worldometers.info/world-population/iceland-population/"
"","","Zambia","https://www.worldometers.info/coronavirus/country/zambia/","1,895","42","","1,412","441","56,825","18,397,649","https://www.worldometers.info/world-population/zambia-population/"
"","","Lithuania","https://www.worldometers.info/coronavirus/country/lithuania/","1,882","79","+7","1,582","221","465,396","2,720,490","https://www.worldometers.info/world-population/lithuania-population/"
"","","Slovenia","https://www.worldometers.info/coronavirus/country/slovenia/","1,878","111","+19","1,501","266","118,353","2,078,950","https://www.worldometers.info/world-population/slovenia-population/"
"","","Guinea-Bissau","https://www.worldometers.info/coronavirus/country/guinea-bissau/","1,842","26","","773","1,043","1,500","1,969,346","https://www.worldometers.info/world-population/guinea-bissau-population/"
"","","Cabo Verde","https://www.worldometers.info/coronavirus/country/cabo-verde/","1,780","19","+58","850","911","41,091","556,201","https://www.worldometers.info/world-population/cabo-verde-population/"
"","","Sierra Leone","https://www.worldometers.info/coronavirus/country/sierra-leone/","1,651","64","","1,190","397","","7,981,956","https://www.worldometers.info/world-population/sierra-leone-population/"
"","","Hong Kong","https://www.worldometers.info/coronavirus/country/china-hong-kong-sar/","1,589","8","+19","1,241","340","376,645","7,499,224","https://www.worldometers.info/world-population/china-hong-kong-sar-population/"
"","","Libya","https://www.worldometers.info/coronavirus/country/libya/","1,563","42","","370","1,151","36,524","6,874,480","https://www.worldometers.info/world-population/libya-population/"
"","","New Zealand","https://www.worldometers.info/coronavirus/country/new-zealand/","1,547","22","+2","1,498","27","433,324","",""
"","","Yemen","https://www.worldometers.info/coronavirus/country/yemen/","1,516","429","","685","402","120","29,845,521","https://www.worldometers.info/world-population/yemen-population/"
"","","Eswatini","https://www.worldometers.info/coronavirus/country/swaziland/","1,434","20","","695","719","17,559","1,160,594","https://www.worldometers.info/world-population/swaziland-population/"
"","","Rwanda","https://www.worldometers.info/coronavirus/country/rwanda/","1,416","4","","737","675","192,379","12,961,309","https://www.worldometers.info/world-population/rwanda-population/"
"","","Benin","https://www.worldometers.info/coronavirus/country/benin/","1,378","26","","557","795","67,622","12,131,954","https://www.worldometers.info/world-population/benin-population/"
